Symbol,Name,Sector,ROE,ROA,PB_ratio,PE_ratio,Net_margin,Asset_turn
UAL,United Continental Holdings,Industrials,0.2496,0.051,2.25,9.86,0.0569,0.9
UNH,United Health Group Inc.,Health Care,0.2371,0.0761,4.47,23.74,0.0525,1.45
URI,"United Rentals, Inc.",Industrials,0.5502,0.1001,4.72,11.04,0.2023,0.49
UTX,United Technologies,Industrials,0.1507,0.0461,3.53,22.93,0.0728,0.63
UHS,"Universal Health Services, Inc.",Health Care,0.1551,0.071,2.04,14.48,0.0723,0.98
UNM,Unum Group,Financials,0.1097,0.0163,1.22,12.06,0.0912,0.18
VFC,V.F. Corp.,Consumer Discretionary,0.1569,0.0627,6.93,29.25,0.0521,1.2
VLO,Valero Energy,Energy,0.198,0.0855,1.82,18.21,0.0433,1.98
VAR,Varian Medical Systems,Health Care,0.0841,0.0369,6.53,39.61,0.0453,0.82
VTR,Ventas Inc,Real Estate,0.1158,0.0523,1.77,14.32,0.3404,0.15
VRSK,Verisk Analytics,Industrials,0.3197,0.1017,8.43,29.89,0.2605,0.39
VZ,Verizon Communications,Telecommunication Services,0.8552,0.1212,4.78,6.86,0.2437,0.5
VRTX,Vertex Pharmaceuticals Inc,Health Care,0.1145,0.0646,20.3,155.99,0.0936,0.69
V,Visa Inc.,Information Technology,0.3385,0.1391,8.73,46.46,0.4818,0.29
VNO,Vornado Realty Trust,Real Estate,0.0236,0.0096,3.93,83.79,0.0482,0.11
VMC,Vulcan Materials,Materials,0.1271,0.0637,3.35,28.19,0.1539,0.41
WMT,Wal-Mart Stores,Consumer Staples,0.1297,0.0484,3.83,26.26,0.0197,2.46
WBA,Walgreens Boots Alliance,Consumer Staples,0.1485,0.0596,2.81,20.31,0.0333,1.79
WM,Waste Management Inc.,Industrials,0.3587,0.0955,6.06,19.02,0.1406,0.68
WAT,Waters Corporation,Health Care,0.0112,0.0053,7.19,1199.59,0.0114,0.47
WEC,Wec Energy Group Inc,Utilities,0.132,0.0396,2.09,16.54,0.1621,0.24
WFC,Wells Fargo,Financials,0.1124,0.0113,1.57,14.27,0.2291,0.05
WDC,Western Digital,Information Technology,0.0337,0.0129,2.08,17.81,0.0193,0.67
WRK,WestRock Company,Materials,0.1735,0.0749,1.48,9.64,0.1201,0.62
WY,Weyerhaeuser Corp.,Real Estate,0.0771,0.0379,3.01,46.04,0.0942,0.4
WHR,Whirlpool Corp.,Consumer Discretionary,0.0648,0.0143,2.84,37.44,0.0136,1.05
WMB,Williams Cos.,Energy,0.2198,0.0415,2.5,11.12,0.2402,0.17
WLTW,Willis Towers Watson,Financials,0.056,0.0175,2.1,46.83,0.0693,0.25
XEL,Xcel Energy Inc,Utilities,0.1053,0.0281,1.99,19.97,0.1052,0.27
XLNX,Xilinx Inc,Information Technology,0.2021,0.1001,7.17,29.87,0.202,0.5
XYL,Xylem Inc.,Industrials,0.1434,0.0511,5.3,40.47,0.0729,0.7
ZBH,Zimmer Biomet Holdings,Health Care,0.1711,0.0686,2.26,36.28,0.2318,0.3
ZION,Zions Bancorp,Financials,0.0772,0.009,1.33,17.99,0.2108,0.04
ZTS,Zoetis,Health Care,0.5262,0.1138,21.36,44.55,0.1797,0.63
