Symbol,Name,Sector,ROE,ROA,PB_ratio,PE_ratio,Net_margin,Asset_turn
EQR,Equity Residential,Real Estate,0.0653,0.0326,2.15,36.5,0.2673,0.12
ESS,"Essex Property Trust, Inc.",Real Estate,0.0547,0.028,2.41,34.92,0.2508,0.11
EL,Estee Lauder Cos.,Consumer Staples,0.2503,0.0938,11.17,48.13,0.0867,1.08
RE,Everest Re Group Ltd.,Financials,0.0502,0.0203,1.16,35.39,0.0632,0.29
ES,Eversource Energy,Utilities,0.0902,0.0287,1.75,19.44,0.1251,0.23
EXC,Exelon Corp.,Utilities,0.1164,0.0304,1.22,9.55,0.0975,0.29
EXPE,Expedia Inc.,Consumer Discretionary,0.0746,0.0171,3.57,48.99,0.0315,0.54
EXPD,Expeditors International,Industrials,0.2479,0.1616,5.5,25.73,0.0707,2.29
ESRX,Express Scripts,Health Care,0.2694,0.0878,2.4,9.83,0.0459,1.91
EXR,Extra Space Storage,Real Estate,0.2119,0.067,4.7,30.46,0.4326,0.15
XOM,Exxon Mobil Corp.,Energy,0.1104,0.0586,1.83,17.49,0.085,0.69
FFIV,F5 Networks,Information Technology,0.3531,0.1742,7.19,22.01,0.2043,0.85
FB,"Facebook, Inc.",Information Technology,0.2465,0.2189,6.73,31.94,0.4003,0.55
FAST,Fastenal Co,Industrials,0.2986,0.2116,7.55,27.38,0.1366,1.55
FRT,Federal Realty Investment Trust,Real Estate,0.1413,0.048,4.18,30.3,0.332,0.14
FDX,FedEx Corporation,Industrials,0.2598,0.0893,3.93,23.06,0.0698,1.28
FIS,Fidelity National Information Services,Information Technology,0.1323,0.0555,2.99,25.16,0.1526,0.36
FITB,Fifth Third Bancorp,Financials,0.1679,0.0183,1.49,11.36,0.337,0.05
FISV,Fiserv Inc,Information Technology,0.5447,0.141,16.54,37.7,0.2476,0.57
FLIR,FLIR Systems,Information Technology,0.057,0.0378,3.71,62.88,0.0566,0.67
FLS,Flowserve Corporation,Industrials,0.0016,0.0006,3.1,33.78,0.0007,0.76
FLR,Fluor Corp.,Industrials,0.0354,0.0188,2.38,41.87,0.0058,2.1
FMC,FMC Corporation,Materials,0.3784,0.1181,4.29,20.91,0.2654,0.45
FL,Foot Locker Inc,Consumer Discretionary,0.1043,0.0728,1.86,10.28,0.0365,2
F,Ford Motor,Consumer Discretionary,0.2267,0.0304,1.35,6.22,0.0486,0.62
FTV,Fortive Corp,Industrials,0.3045,0.1136,6.86,25.23,0.1612,0.7
FBHS,Fortune Brands Home & Security,Industrials,0.1868,0.0868,3.84,21.68,0.0879,0.99
BEN,Franklin Resources,Financials,0.0575,0.0393,1.87,33.7,0.1042,0.37
FCX,Freeport-McMoRan Inc.,Materials,0.3013,0.0703,3.34,14.7,0.1272,0.48
GPS,Gap Inc.,Consumer Discretionary,0.2833,0.1097,3.92,14.06,0.0535,2.05
GRMN,Garmin Ltd.,Consumer Discretionary,0.1572,0.1206,3.22,16.8,0.1856,0.65
GD,General Dynamics,Industrials,0.2579,0.0836,5.58,22.46,0.0949,0.88
GGP,General Growth Properties Inc.,Real Estate,0.0776,0.0288,2.53,28.71,0.2755,0.1
GIS,General Mills,Consumer Staples,0.5016,0.0988,7.56,20.58,0.1396,0.71
GPC,Genuine Parts,Consumer Discretionary,0.1864,0.0575,4.18,23.23,0.0373,1.54
GILD,Gilead Sciences,Health Care,0.2094,0.0732,4.06,8.8,0.1773,0.41
GPN,Global Payments Inc.,Information Technology,0.1447,0.0424,4.57,36.54,0.1327,0.32
GS,Goldman Sachs Group,Financials,0.0581,0.0052,1.39,29.88,0.125,0.04
GT,Goodyear Tire & Rubber,Consumer Discretionary,0.0533,0.0145,1.63,23.43,0.0164,0.88
GWW,Grainger (W.W.) Inc.,Industrials,0.3667,0.1099,8.66,26.02,0.0598,1.82
HBI,Hanesbrands Inc,Consumer Discretionary,0.0764,0.0098,10.95,130,0.0108,0.91
HOG,Harley-Davidson,Consumer Discretionary,0.2696,0.0511,4.39,15.22,0.0924,0.55
HRS,Harris Corporation,Information Technology,0.2102,0.063,6.06,35.76,0.1157,0.55
HAS,Hasbro Inc.,Consumer Discretionary,0.1199,0.0421,6.34,30.05,0.0425,0.99
HP,Helmerich & Payne,Energy,0.1002,0.0694,1.62,18.52,0.2019,0.34
HSIC,Henry Schein,Health Care,0.1409,0.0556,3.91,21.61,0.0326,1.7
HPE,Hewlett Packard Enterprise,Information Technology,0.0574,0.0231,1.01,74.7,0.0602,0.38
HLT,Hilton Worldwide Holdings Inc,Consumer Discretionary,0.7946,0.0944,12.61,21.29,0.1487,0.63
HON,Honeywell Int'l Inc.,Industrials,0.0925,0.0304,6.7,73.95,0.0426,0.71
HRL,Hormel Foods Corp.,Consumer Staples,0.1874,0.132,3.65,21.69,0.0992,1.33
HST,Host Hotels & Resorts,Real Estate,0.0933,0.0556,2.1,25.96,0.1224,0.45
HUM,Humana Inc.,Health Care,0.1734,0.058,3.79,16.24,0.0336,1.73
HBAN,Huntington Bancshares,Financials,0.1199,0.0127,1.71,15.71,0.2838,0.04
INFO,IHS Markit Ltd.,Industrials,0.0753,0.0413,2.29,46.13,0.1606,0.26
ITW,Illinois Tool Works,Industrials,0.389,0.1106,12.37,34.17,0.1236,0.9
ILMN,Illumina Inc,Health Care,0.2002,0.1095,12.41,46.98,0.1931,0.57
IR,Ingersoll-Rand PLC,Industrials,0.1884,0.0725,3.17,17.84,0.0896,0.81
INTC,Intel Corp.,Information Technology,0.1592,0.0885,3.24,24.2,0.2109,0.42
ICE,Intercontinental Exchange,Financials,0.1522,0.0313,2.46,16.89,0.4212,0.07
